"Date","Workout name","Exercise","Set","Weight","Reps","Distance","Duration","Measurement unit","Notes"
"2025-07-28 13:42:49","A","Supino inclinado com halteres","1","10","12","","","kg",
"2025-07-28 13:42:49","A","Supino inclinado com halteres","2","10","12","","","kg",
"2025-07-28 13:42:49","A","Supino inclinado com halteres","3","10","13","","","kg",
"2025-07-28 13:42:49","A","Supino inclinado com halteres","4","10","12","","","kg",
"2025-07-28 13:42:49","A","Crucifixo na máquina","1","6","15","","","kg",
"2025-07-28 13:42:49","A","Crucifixo na máquina","2","7","13","","","kg",
"2025-07-28 13:42:49","A","Crucifixo na máquina","3","7","11","","","kg",
"2025-07-28 13:42:49","A","Crucifixo na máquina","4","7","11","","","kg",
"2025-07-28 13:42:49","A","Elevação frontal com halteres","1","5","14","","","kg",
"2025-07-28 13:42:49","A","Elevação frontal com halteres","2","5","13","","","kg",
"2025-07-28 13:42:49","A","Elevação frontal com halteres","3","5","12","","","kg",
"2025-07-28 13:42:49","A","Elevação frontal com halteres","4","5","12","","","kg",
"2025-07-28 13:42:49","A","Mergulho de tríceps assistido","1","45","6","","","kg",
"2025-07-28 13:42:49","A","Mergulho de tríceps assistido","2","45","5","","","kg",
"2025-07-28 13:42:49","A","Mergulho de tríceps assistido","3","45","5","","","kg",
"2025-07-28 13:42:49","A","Mergulho de tríceps assistido","4","45","5","","","kg",
"2025-07-28 13:42:49","A","Tríceps pulley na polia alta","1","5","14","","","kg",
"2025-07-28 13:42:49","A","Tríceps pulley na polia alta","2","5","12","","","kg",
"2025-07-28 13:42:49","A","Tríceps pulley na polia alta","3","5","11","","","kg",
"2025-07-28 13:42:49","A","Tríceps pulley na polia alta","4","5","10","","","kg",
"2025-07-29 15:48:51","B","Puxada aberta frontal","1","42","14","","","kg",
"2025-07-29 15:48:51","B","Puxada aberta frontal","2","42","14","","","kg",
"2025-07-29 15:48:51","B","Puxada aberta frontal","3","42","14","","","kg",
"2025-07-29 15:48:51","B","Puxada aberta frontal","4","42","12","","","kg",
"2025-07-29 15:48:51","B","Remada na polia sentado","1","37","14","","","kg",
"2025-07-29 15:48:51","B","Remada na polia sentado","2","37","12","","","kg",
"2025-07-29 15:48:51","B","Remada na polia sentado","3","37","12","","","kg",
"2025-07-29 15:48:51","B","Remada na polia sentado","4","37","11","","","kg",
"2025-07-29 15:48:51","B","Puxada pela frente neutra","1","42","11","","","kg",
"2025-07-29 15:48:51","B","Puxada pela frente neutra","2","42","10","","","kg",
"2025-07-29 15:48:51","B","Puxada pela frente neutra","3","42","10","","","kg",
"2025-07-29 15:48:51","B","Puxada pela frente neutra","4","42","9","","","kg",
"2025-07-29 15:48:51","B","Elevação lateral com halteres","1","6","13","","","kg",
"2025-07-29 15:48:51","B","Elevação lateral com halteres","2","6","12","","","kg",
"2025-07-29 15:48:51","B","Elevação lateral com halteres","3","6","11","","","kg",
"2025-07-29 15:48:51","B","Elevação lateral com halteres","4","6","11","","","kg",
"2025-07-29 15:48:51","B","Rosca direta com barra reta","1","15","13","","","kg",
"2025-07-29 15:48:51","B","Rosca direta com barra reta","2","15","12","","","kg",
"2025-07-29 15:48:51","B","Rosca direta com barra reta","3","15","10","","","kg",
"2025-07-29 15:48:51","B","Rosca direta com barra reta","4","15","9","","","kg",
"2025-07-29 15:48:51","B","Rosca alternada com halter","1","7","8","","","kg",
"2025-07-29 15:48:51","B","Rosca alternada com halter","2","7","8","","","kg",
"2025-07-29 15:48:51","B","Rosca alternada com halter","3","7","8","","","kg",
"2025-07-29 15:48:51","B","Rosca alternada com halter","4","7","8","","","kg",
"2025-07-30 14:59:01","C","Agachamento com barra","1","50","11","","","kg",
"2025-07-30 14:59:01","C","Agachamento com barra","2","50","11","","","kg",
